"nom";"adresse";"departement";"codepostal";"nomcommune";"inseecommune";"lambert2x";"lambert2y";"substance"
"CARRIERES DE PROVENCE (ex SMECPT)";"Route de Maussane";"13";"13990";"FONTVIEILLE";"13038";794189;1861480;"CALCAIRE"
"CARRIERE SARRAGAN";"Lieu-dit ""Sarragan""";"13";"13520";"LES BAUX DE PROVENCE";"13011";797951;1863915;"CALCAIRE"
"CARRIERE PERASSO Montfort ";"Lieu dit ""Le Grand Bois""";"04";"04600";"MONTFORT";"04127";888219;1902632;"CALCAIRE"
"CARRIERE ASM Méolans";"lieu dit ""Saint Jacques""";"04";"04340";"MEOLANS REVEL";"04161";931892;1942207;"CALCAIRE"
"CARRIERE SCHP Banon ";"Lieu-dit ""Les Trois Fouents""";"04";"04150";"BANON";"04018";863284;1898881;"CALCAIRE"
"CARRIERE SIBILLI Revest";"Lieu-dit ""La Coraine""";"04";"04230";"REVEST ST MARTIN";"04164";878826;1896035;"CALCAIRE"
"CARRIERE BESOZZI ";"Lieu-dit ""La Corraine""";"04";"04230";"REVEST ST MARTIN";"04164";878567;1896098;"CALCAIRE"
"CAR ASM - Les Eichalets - Clos Roussin";"Ravin des Eichalets";"04";"04170";"THORAME HAUTE";"04219";939305;1907170;"CALCAIRE"
"CARRIERE CHIAPELLO n°1";"1880 chemin de la plus haute Sine";"06";"06140";"VENCE";"06157";983075;1868174;"CALCAIRE"
"CARRIERE ODDOART";"1880 CHEMIN DE LA PLUS HAUTE SINE";"06";"06140";"VENCE";"06157";983090;1868328;"CALCAIRE"
"CARRIERE DE SAINT GENS";"St Gens";"84";"84210";"LE BEAUCET";"84011";824757;1888010;"CALCAIRE"
"CARRIERE AUZENDE GUERIN ROUX";"La Roche d'Espeil";"84";"84480";"BUOUX";"84023";842708;1872458;"CALCAIRE"
"CARRIERE GIRAUD Marc - Tourtour Défens";"Le Grand Défens";"83";"83690";"TOURTOUR";"83139";920781;1852510;"DOLOMIE"
"CARRIERE CBA - Rians";"lieu dit ""Caugnon""";"83";"83560";"RIANS";"83104";877241;1847698;"CALCAIRE"
"CARRIERE  PERASSO Charmayon";"Lieu-dit ""Charmayon""";"04";"04230";"MALLEFOUGASSE AUGES";"04109";887854;1903223;"CALCAIRE"
"CARRIERE DU PONT DE PIERRE (ex Roméo)";"La Fraye Touarte ";"06";"06480";"LA COLLE SUR LOUP";"06044";982595;1864531;"CALCAIRE"
"CARRIERE BG PIERRES (ex LISARELLI)";"Chemin de la Sine";"06";"06140";"VENCE";"06157";983110;1868114;"CALCAIRE"
"CARRIERE PROROCH";"Soubeyran";"84";"84560";"MENERBES";"84073";834060;1874438;"CALCAIRE"
"CARRIERE SILICES DE LA ROYA";"""Focce"" - RN 6204";"06";"06430";"TENDE";"06163";1019995;1907357;"QUARTZITES"
"CARRIERE NEGRO Chateauredon";"La Blache - La Côte";"04";"04270";"CHATEAUREDON";"04054";912336;1898090;"CALCAIRE"
"CARRIERE SAPEDE CRILLON";"Les Boissières";"84";"84410";"CRILLON LE BRAVE";"84041";825070;1904626;"CALCAIRE"
"CARRIERE SERRE FRERES & CIE ";"Soubeyran";"84";"84560";"MENERBES";"84073";834258;1874467;"CALCAIRE"
"CARRIERE SERRE FRERES & Cie";"Les Garrigues";"84";"84560";"MENERBES";"84073";832570;1874886;"CALCAIRE"
"CARRIERE GRAVISUD ";"Mange Tian";"84";"84220";"GOULT";"84051";832202;1877982;"GRES"
"CARRIERE SCHP Omergues ";"Lieu-dit ""Villesèche la Junare""";"04";"04200";"LES OMERGUES";"04140";860159;1909734;"CALCAIRE"
"CARRIERE GUINTOLI - Pourcieux";"lieux dit  LAMOUREUX";"83";"83470";"POURCIEUX";"83096";881873;1834984;"CALCAIRE"
"CARRIERE DURANCE GRANULATS-Pourcieux";"GARRAGAI";"83";"83470";"POURCIEUX";"83096";881009;1836409;"CALCAIRE"
"CARRIERE GIRAUD & FILS - Tourtour Baume";"Lieux dit La Baume Le Ginestet";"83";"83690";"TOURTOUR";"83139";918857;1852750;"CALCAIRE"
"CARRIERE GIRARD LA COURONNE";"Lieu-dit ""Les Auffans""";"13";"13117";"MARTIGUES";"13056";820396;1819606;"CALCAIRE"
"MBTP  Murs-et-Gélignieux";"Mongelaz";"01";"01300";"MURS ET GELIGNIEUX";"01268";859114;2077267;"CALCAIRE"
"GRAVIER TP";"LA BALME ROUSSET";"38";"38520";"LE BOURG D OISANS";"38052";894915;2006458;"GNEISS"
"FRANCE DENEIGEMENT HERMETTA";"Dernier l'HERMETTA - La Fare";"38";"38220";"LIVET ET GAVET";"38212";884952;2019189;"GNEISS"
"VICAT FETAISE";"FETAISE";"38";"38390";"BOUVESSE QUIRIEU";"38054";840463;2093430;"CALCAIRE"
"VICAT ENIEU";"ENIEU";"38";"38390";"BOUVESSE QUIRIEU";"38054";838042;2093107;"MARNES"
"BALTHAZARD & COTTE LA BUISSE";"LA  CARRIERE";"38";"38500";"LA BUISSE";"38061";857959;2041946;"CALCAIRE"
"CARRIERES FROMANT CHORANCHE";"GAMONE";"38";"38680";"CHORANCHE";"38108";837949;2011795;"CALCAIRE"
"BALTHAZARD & COTTE POLIENAS";"ROCHEFORT";"38";"38210";"POLIENAS";"38310";845869;2033528;"CALCAIRE"
"VICAT ST LAURENT DU PONT";"carrière ""Solitaire""";"38";"38380";"ST LAURENT DU PONT";"38412";867989;2047566;"CALCAIRE"
"VICAT ST M LE VINOUX";"LES COMBES";"38";"38950";"ST MARTIN LE VINOUX";"38423";865833;2028318;"CALCAIRE"
"SMTP";"Bois de Domois";"42";"42130";"AILLEUX";"42002";722930;2089867;"GRANITE"
"CARRIERES RICHARD (Ambierle)";"LE GRAND PIERNANT";"42";"42820";"AMBIERLE";"42003";719520;2126241;"GRANITE"
"CARRIERES DE LA LOIRE DELAGE";"Ruffy";"42";"42210";"BELLEGARDE EN FOREZ";"42013";754099;2074498;"AMPHIBOLITES"
"POCCACHARD";"LESPINASSE";"42";"42460";"BOYER";"42025";744597;2122671;"GNEISS"
"CARRIERE CONCASSAGE ROANNAIS";"Clavellières";"42";"42260";"BULLY";"42027";727077;2104790;"RHYOLITES"
"BOUYER LEROUX STRUCTURE (ex IMERYS TC)";"Bourg Est";"42";"42600";"CHALAIN LE COMTAL";"42038";743489;2073490;"ARGILE"
"CARRIERES CONCASSAGE ROANN(ex CHARRIERE)";"CHIVET";"42";"42430";"CHAMPOLY";"42047";714922;2097486;"GRANITE"
"CHIAVERINA";"535, rue du Pont";"42";"42120";"COMMELLE VERNAY";"42069";732629;2112225;"GRANITE"
"CARRIERES DU ROANNAIS";"LE PLATEAU";"42";"42120";"PARIGNY";"42166";737459;2110452;"GRANITE"
"FOREZIENNE d'ENTREPRISE  ex BEUGNET";"LES ROCHAINS";"42";"42380";"PERIGNEUX";"42169";743869;2050173;"GRANITE"
"CARRIERES RICHARD (Renaison)";"BORDET";"42";"42370";"RENAISON";"42182";720288;2117737;"RHYOLITES"
"SMTV";"Puits St Pierre";"42";"42150";"LA RICAMARIE";"42183";758303;2047273;"SCHISTES"
"ERIC PAGE SARL";"BRAILLE OUEST";"42";"42300";"VILLEREST";"42332";729466;2111047;"GNEISS"
"SOGYMA";"LES ROSSIERES";"73";"73300";"ST JEAN DE MAURIENNE";"73248";912888;2036757;"GYPSE"
"GUINET DERRIAZ  CARRIERES";"CHARMIEU DE VASSIEU";"38";"38390";"PORCIEU AMBLAGNIEU";"38320";837979;2096288;"CALCAIRE"
"GUINET DERRIAZ (ex La Pierre de France)";"""Marieu""";"38";"38390";"PORCIEU AMBLAGNIEU";"38320";835181;2098450;"CALCAIRE"
"LA PIERRE DE FRANCE  (ex ROSSI SA)";"""Roche Comment""";"38";"38390";"PORCIEU AMBLAGNIEU";"38320";836772;2097146;"CALCAIRE"
"GUINET-DERRIAZ SA";"VERS FAY";"01";"01250";"DROM";"01150";833748;2138663;"MARBRE"
"VINCENT TP";"LA LOIMPE";"38";"38390";"PORCIEU AMBLAGNIEU";"38320";835230;2098403;"CALCAIRE"
"FRANCE DENEIGEMENT INFERNET";"l'infernet";"38";"38220";"LIVET ET GAVET";"38212";884950;2019195;"GNEISS"
"BOUYER LEROUX  (ex IMERYS) Trémoulin";"Trémoulin";"42";"42680";"ST MARCELLIN EN FOREZ";"42256";744854;2057217;"ARGILE"
"POCCACHARD - Le Ratier";"""Le Ratier""";"69";"69290";"POLLIONNAY";"69154";782766;2087567;"MAT.SILICO ARGILEUX"
"MOLINA Fabrice";"Lieu-dit ""Chassagne""";"69";"69620";"THEIZE";"69246";776968;2108272;"CALCAIRE"
